iter	Passed	Remaining
346	1188875	2237277
347	1191468	2232292
348	1194076	2227345
349	1196117	2221361
350	1198551	2216124
351	1200802	2210568
352	1203815	2206426
353	1206551	2201786
354	1209844	2198168
355	1212946	2194207
356	1215889	2189962
357	1218533	2185192
358	1221491	2180991
359	1224539	2176959
360	1226902	2171719
361	1229243	2166455
362	1232115	2162142
363	1234513	2157007
364	1237008	2152055
365	1239830	2147684
366	1242446	2142966
367	1245073	2138277
368	1247721	2133637
369	1250172	2128671
370	1252608	2123694
371	1255189	2118975
372	1257662	2114086
373	1260155	2109244
374	1262852	2104754
375	1265238	2099757
376	1267706	2094910
377	1270683	2090913
378	1273350	2086413
379	1275805	2081578
380	1278648	2077384
381	1281099	2072564
382	1283632	2067888
383	1286162	2063218
384	1288676	2058535
385	1291247	2053953
386	1293822	2049388
387	1296457	2044928
388	1299033	2040384
389	1301534	2035733
390	1304058	2031128
391	1306186	2025921
392	1308686	2021304
393	1311419	2017055
394	1313754	2012206
395	1316541	2008058
396	1318927	2003307
397	1321237	1998455
398	1323452	1993471
399	1325724	1988586
400	1328281	1984141
401	1331020	1979976
402	1333484	1975410
403	1336162	1971169
404	1338613	1966605
405	1340725	1961554
406	1343388	1957319
407	1345999	1953019
408	1348648	1948780
409	1351281	1944527
410	1353443	1939606
411	1355810	1934992
412	1358338	1930617
413	1360684	1925992
414	1362891	1921183
415	1365289	1916655
416	1367644	1912079
417	1370460	1908153
418	1372927	1903748
419	1375511	1899516
420	1378205	1895441
421	1380631	1891007
422	1383258	1886855
423	1386014	1882887
424	1388634	1878741
425	1390976	1874226
426	1393708	1870245
427	1396131	1865857
428	1398293	1861132
429	1400661	1856691
430	1403296	1852611
431	1405411	1847855
432	1407491	1843066
433	1409741	1838510
434	1412428	1834533
435	1414925	1830316
436	1417800	1826594
437	1420754	1822976
438	1423187	1818696
439	1425699	1814526
440	1428731	1811022
441	1431367	1807020
442	1433648	1802578
443	1436400	1798736
444	1439189	1794944
445	1442062	1791261
446	1444569	1787129
447	1446939	1782836
448	1449210	1778429
449	1451807	1774431
450	1454486	1770538
451	1457270	1766778
452	1460165	1763157
453	1462704	1759111
454	1464917	1754680
455	1468341	1751706
456	1471281	1748152
457	1473248	1743450
458	1475934	1739609
459	1478325	1735425
460	1480872	1731432
461	1483439	1727468
462	1485786	1723255
463	1488064	1718971
464	1490602	1714993
465	1492865	1710708
466	1495625	1706998
467	1498211	1703095
468	1500788	1699187
469	1503311	1695223
470	1505660	1691071
471	1507787	1686677
472	1510552	1683004
473	1512974	1678954
474	1515909	1675479
475	1518398	1671514
476	1520999	1667678
477	1523444	1663677
478	1525626	1659397
479	1528103	1655445
480	1530789	1651724
481	1533108	1647614
482	1535667	1643768
483	1538299	1640005
484	1541051	1636373
485	1544011	1632966
486	1546785	1629364
487	1549736	1625952
488	1552326	1622165
489	1555203	1618680
490	1558066	1615184
491	1560358	1611102
492	1562594	1606968
493	1564711	1602720
494	1566894	1598548
495	1569435	1594749
496	1571877	1590853
497	1574208	1586853
498	1576551	1582870
499	1578947	1578947
500	1581058	1574746
501	1583790	1571170
502	1586102	1567183
503	1588630	1563413
504	1591172	1559663
505	1593493	1555703
506	1595683	1551621
507	1597818	1547493
508	1600231	1543641
509	1602940	1540080
510	1605628	1536501
511	1608081	1532702
512	1610227	1528617
513	1612550	1524707
514	1614979	1520903
515	1618008	1517666
516	1620340	1513780
517	1622674	1509901
518	1624984	1506007
519	1627413	1502227
520	1629918	1498523
521	1632221	1494640
522	1634896	1491101
523	1637126	1487160
524	1639757	1483589
525	1642369	1480006
526	1644805	1476267
527	1647089	1472398
528	1649529	1468673
529	1652165	1465128
530	1654418	1461246
531	1657226	1457860
532	1660113	1454546
533	1662663	1450938
534	1665213	1447335
535	1667498	1443506
536	1670191	1440034
537	1672223	1435998
538	1674453	1432138
539	1677025	1428577
540	1679900	1425276
541	1682412	1421669
542	1684902	1418048
543	1687345	1414392
544	1690309	1411176
545	1692395	1407229
546	1694795	1403550
547	1696600	1399385
548	1698830	1395578
549	1701295	1391968
550	1703368	1388044
551	1705190	1383922
552	1707307	1380047
553	1709233	1376025
554	1711505	1372287
555	1713593	1368409
556	1715753	1364594
557	1718030	1360877
558	1720216	1357094
559	1722289	1353227
560	1724193	1349234
561	1726077	1345234
562	1728215	1341439
563	1730187	1337520
564	1732511	1333880
565	1734905	1330298
566	1736933	1326441
567	1739264	1322820
568	1741504	1319135
569	1743343	1315153
570	1745354	1311308
571	1747556	1307611
572	1749638	1303831
573	1751548	1299930
574	1753505	1296068
575	1755368	1292145
576	1757308	1288286
577	1759390	1284537
578	1761360	1280713
579	1763451	1276981
580	1765720	1273385
581	1767623	1269530
582	1769564	1265709
583	1771455	1261858
584	1773427	1258072
585	1775280	1254208
586	1777365	1250514
587	1779709	1247007
588	1781667	1243234
589	1783645	1239482
590	1785452	1235617
591	1787442	1231886
592	1789690	1228337
593	1792052	1224870
594	1794001	1221127
595	1796050	1217456
596	1797885	1213647
597	1799779	1209885
598	1801745	1206176
599	1803412	1202274
600	1805459	1198632
601	1807367	1194904
602	1809362	1191238
603	1811577	1187723
604	1813676	1184136
605	1815713	1180513
606	1817663	1176839
607	1820181	1173538
608	1822096	1169851
609	1824302	1166357
610	1826232	1162691
611	1828100	1158991
612	1830284	1155497
613	1832582	1152079
614	1834357	1148337
615	1836418	1144780
616	1838429	1141197
617	1840417	1137604
618	1842358	1133987
619	1844421	1130452
620	1846420	1126881
621	1848134	1123143
622	1850029	1119520
623	1852242	1116094
624	1854454	1112672
625	1856471	1109138
626	1858791	1105788
627	1860869	1102298
628	1862761	1098703
629	1864677	1095127
630	1866624	1091575
631	1868309	1087876
632	1870558	1084510
633	1872634	1081047
634	1874646	1077552
635	1876429	1073931
636	1878761	1070628
637	1880657	1067081
638	1882596	1063563
639	1884683	1060134
640	1886959	1056815
641	1888894	1053308
642	1890979	1049890
643	1892851	1046359
644	1894914	1042937
645	1897260	1039675
646	1899350	1036276
647	1901581	1032957
648	1904025	1029757
649	1905875	1026240
650	1907983	1022866
651	1910060	1019480
652	1912095	1016075
653	1914258	1012742
654	1916519	1009464
655	1918664	1006128
656	1920597	1002686
657	1922672	999322
658	1924770	995973
659	1926581	992481
660	1928487	989042
661	1930533	985680
662	1932417	982239
663	1934881	979096
664	1936922	975743
665	1939139	972481
666	1941078	969084
667	1943171	965767
668	1945203	962425
669	1947143	959040
670	1949113	955675
671	1951028	952287
672	1953099	948979
673	1955385	945780
674	1957449	942475
675	1959432	939136
676	1961423	935804
677	1963569	932550
678	1965592	929241
679	1967588	925923
680	1969522	922581
681	1971365	919199
682	1973267	915850
683	1975122	912483
684	1977254	909248
685	1978951	905817
686	1981038	902569
687	1983115	899319
688	1985085	896025
689	1987355	892869
690	1989519	889669
691	1991480	886381
692	1993372	883067
693	1995211	879733
694	1997554	876624
695	1999850	873498
696	2002163	870380
