iter	RMSE
291	0.8889758316
292	0.888975823
293	0.8889758178
294	0.8889757946
295	0.8889757695
296	0.8889757656
297	0.8889757619
298	0.8889757144
299	0.8889756669
300	0.8889756642
301	0.8889756523
302	0.8889756157
303	0.8889755929
304	0.8889755551
305	0.888975515
306	0.8889754804
307	0.8889754147
308	0.8889753159
309	0.8889753033
310	0.888975294
311	0.8889752898
312	0.8889752723
313	0.8889752472
314	0.8889752448
315	0.8889752317
316	0.8889752204
317	0.8889752149
318	0.8889751876
319	0.8889751728
320	0.8889751348
321	0.8889751206
322	0.8889750748
323	0.8889750722
324	0.8889750682
325	0.8889750653
326	0.8889750202
327	0.8889750097
328	0.8889749943
329	0.888974981
330	0.8889749548
331	0.8889749135
332	0.8889749061
333	0.888974887
334	0.888974886
335	0.8889748829
336	0.8889748819
337	0.8889748689
338	0.8889748154
339	0.8889748047
340	0.8889747668
341	0.8889747249
342	0.888974664
343	0.8889746553
344	0.8889746149
345	0.8889746066
346	0.8889745826
347	0.8889745804
348	0.8889745718
349	0.8889745683
350	0.8889745575
351	0.8889745538
352	0.888974531
353	0.8889745229
354	0.8889744732
355	0.8889744707
356	0.888974465
357	0.888974452
358	0.8889744403
359	0.8889744206
360	0.8889744175
361	0.888974414
362	0.8889743994
363	0.8889743977
364	0.8889743953
365	0.8889743638
366	0.888974347
367	0.8889743419
368	0.888974336
369	0.8889743298
370	0.8889743279
371	0.8889743146
372	0.8889743097
373	0.8889743028
374	0.8889742832
375	0.8889742804
376	0.8889742795
377	0.8889742549
378	0.8889742351
379	0.8889742256
380	0.8889741973
381	0.8889741837
382	0.8889741808
383	0.8889741681
384	0.8889741619
385	0.8889741583
386	0.8889741465
387	0.8889741435
388	0.8889741423
389	0.8889741374
390	0.8889741327
391	0.8889741293
392	0.8889741286
393	0.8889741278
394	0.8889741273
395	0.8889740882
396	0.8889740861
397	0.888974075
398	0.8889740746
399	0.8889740731
400	0.8889740657
401	0.8889740554
402	0.8889740524
403	0.8889740498
404	0.8889740473
405	0.8889740456
406	0.8889740265
407	0.8889740257
408	0.8889740195
409	0.8889740028
410	0.8889740012
411	0.888973996
412	0.8889739905
413	0.8889739845
414	0.8889739841
415	0.8889739836
416	0.8889739807
417	0.8889739522
418	0.888973923
419	0.8889739064
420	0.8889739015
421	0.8889739006
422	0.8889738757
423	0.8889738439
424	0.8889738404
425	0.8889738369
426	0.8889738133
427	0.8889738029
428	0.8889738015
429	0.8889737846
430	0.888973766
431	0.8889737654
432	0.888973765
433	0.8889737637
434	0.8889737625
435	0.888973759
436	0.8889737293
437	0.8889737027
438	0.8889736946
439	0.888973685
440	0.8889736661
441	0.8889736604
442	0.8889736596
443	0.888973651
444	0.8889736469
445	0.8889736323
446	0.8889736227
447	0.8889736221
448	0.8889736212
449	0.8889736019
450	0.8889735928
451	0.8889735921
452	0.8889735744
453	0.888973561
454	0.8889735601
455	0.8889735477
456	0.888973541
457	0.8889735399
458	0.8889735282
459	0.8889735279
460	0.8889735259
461	0.8889735195
462	0.8889735181
463	0.8889735176
464	0.8889735125
465	0.888973512
466	0.8889734867
467	0.8889734794
468	0.8889734778
469	0.8889734686
470	0.8889734685
471	0.8889734673
472	0.8889734601
473	0.8889734597
474	0.88897345
475	0.8889734499
476	0.8889734302
477	0.8889734293
478	0.8889734283
479	0.8889734244
480	0.8889734237
481	0.888973423
482	0.8889734205
483	0.8889734079
484	0.8889734027
485	0.8889733977
486	0.888973392
487	0.8889733641
488	0.8889733545
489	0.8889733428
490	0.8889733398
491	0.8889733376
492	0.888973337
493	0.8889733368
494	0.8889733362
495	0.8889733355
496	0.8889733355
497	0.888973335
498	0.8889733349
499	0.8889733313
500	0.8889733304
501	0.8889733169
502	0.8889733166
503	0.8889733136
504	0.8889733119
505	0.8889733115
506	0.8889733113
507	0.8889733102
508	0.8889733041
509	0.8889732951
510	0.8889732915
511	0.8889732908
512	0.8889732892
513	0.8889732888
514	0.8889732884
515	0.8889732815
516	0.8889732811
517	0.8889732808
518	0.8889732765
519	0.8889732746
520	0.8889732744
521	0.8889732741
522	0.8889732736
523	0.8889732733
524	0.8889732629
525	0.8889732574
526	0.8889732568
527	0.8889732514
528	0.8889732512
529	0.888973235
530	0.8889732341
531	0.88897322
532	0.8889732169
533	0.8889732165
534	0.8889732087
535	0.8889732087
536	0.8889732071
537	0.8889732069
538	0.8889732063
539	0.8889731997
540	0.8889731902
541	0.8889731901
542	0.8889731899
543	0.8889731872
544	0.8889731798
545	0.888973179
546	0.8889731708
547	0.8889731702
548	0.8889731674
549	0.8889731601
550	0.8889731588
551	0.8889731586
552	0.8889731542
553	0.888973154
554	0.8889731514
555	0.8889731487
556	0.8889731472
557	0.8889731443
558	0.888973144
559	0.8889731396
560	0.8889731394
561	0.8889731385
562	0.8889731341
563	0.888973134
564	0.8889731237
565	0.8889731198
566	0.8889731192
567	0.888973113
568	0.8889731011
569	0.8889731008
570	0.8889731005
571	0.8889730984
572	0.8889730982
573	0.888973098
574	0.8889730978
575	0.8889730956
576	0.888973093
577	0.8889730918
578	0.8889730911
579	0.8889730886
580	0.8889730842
581	0.8889730837
582	0.888973083
583	0.8889730828
584	0.8889730806
585	0.8889730804
586	0.8889730784
587	0.8889730768
588	0.8889730767
589	0.8889730729
590	0.8889730728
591	0.8889730704
592	0.8889730689
593	0.8889730637
594	0.8889730624
595	0.8889730622
596	0.8889730619
597	0.8889730606
598	0.8889730594
599	0.8889730589
600	0.8889730587
601	0.8889730581
602	0.888973058
603	0.8889730554
604	0.8889730505
605	0.8889730505
606	0.8889730495
607	0.8889730409
608	0.8889730379
609	0.8889730372
610	0.888973037
611	0.8889730369
612	0.8889730349
613	0.8889730281
614	0.888973028
615	0.8889730242
616	0.888973024
617	0.8889730228
